,mean_df1,std_df1,mean_df2,std_df2,mean_diff,abs_mean_diff,z-score
shipping,0.018867924528301886,0.18648907314053526,0.0,0.0,0.018867924528301886,0.018867924528301886,
chemical,0.018867924528301886,0.31566285696242563,0.0,0.0,0.018867924528301886,0.018867924528301886,
benign,0.018867924528301886,0.13624227752280013,0.0,0.0,0.018867924528301886,0.018867924528301886,
headings,0.018867924528301886,0.13624227752280013,0.0,0.0,0.018867924528301886,0.018867924528301886,
hacker,0.018867924528301886,0.22581937608857244,0.0,0.0,0.018867924528301886,0.018867924528301886,
requiring,0.018867924528301886,0.13624227752280013,0.0,0.0,0.018867924528301886,0.018867924528301886,
constructing,0.018867924528301886,0.13624227752280013,0.0,0.0,0.018867924528301886,0.018867924528301886,
prohibited,0.018867924528301886,0.15481396445413154,0.0,0.0,0.018867924528301886,0.018867924528301886,
cart,0.018867924528301886,0.279323141977279,0.0,0.0,0.018867924528301886,0.018867924528301886,
checkout,0.018867924528301886,0.23748641229012984,0.0,0.0,0.018867924528301886,0.018867924528301886,
facilitates,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
combat,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
pseudo,0.016172506738544475,0.16359941980641793,0.0,0.0,0.016172506738544475,0.016172506738544475,
firewall,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
insiders,0.016172506738544475,0.17936046266220987,0.0,0.0,0.016172506738544475,0.016172506738544475,
securing,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
lateral,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
infects,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
vpns,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
unknowingly,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
compromise,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
enforced,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
journalist's,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
botnets,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
shell,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
construction,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
glorify,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
lethal,0.016172506738544475,0.19384421830894877,0.0,0.0,0.016172506738544475,0.016172506738544475,
dieting,0.016172506738544475,0.21996907005899308,0.0,0.0,0.016172506738544475,0.016172506738544475,
regulate,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
sensationalism,0.016172506738544475,0.21996907005899308,0.0,0.0,0.016172506738544475,0.016172506738544475,
improperly,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
addiction,0.016172506738544475,0.2645902745836283,0.0,0.0,0.016172506738544475,0.016172506738544475,
fraught,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
acquiring,0.016172506738544475,0.17936046266220987,0.0,0.0,0.016172506738544475,0.016172506738544475,
dummy,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
counterfeit,0.016172506738544475,0.19384421830894877,0.0,0.0,0.016172506738544475,0.016172506738544475,
mere,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
imprisonment,0.016172506738544475,0.12630898364798035,0.0,0.0,0.016172506738544475,0.016172506738544475,
cheat,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
facility,0.016172506738544475,0.17936046266220987,0.0,0.0,0.016172506738544475,0.016172506738544475,
policymakers,0.016172506738544475,0.14614843398268476,0.0,0.0,0.016172506738544475,0.016172506738544475,
coercion,0.016172506738544475,0.17936046266220987,0.0,0.0,0.016172506738544475,0.016172506738544475,
car's,0.016172506738544475,0.2645902745836283,0.0,0.0,0.016172506738544475,0.016172506738544475,
hijack,0.016172506738544475,0.311504478990699,0.0,0.0,0.016172506738544475,0.016172506738544475,
correctional,0.016172506738544475,0.2645902745836283,0.0,0.0,0.016172506738544475,0.016172506738544475,
ports,0.013477088948787063,0.17189417356646347,0.0,0.0,0.013477088948787063,0.013477088948787063,
spreadsheets,0.013477088948787063,0.17189417356646347,0.0,0.0,0.013477088948787063,0.013477088948787063,
cracking,0.013477088948787063,0.11546164163860331,0.0,0.0,0.013477088948787063,0.013477088948787063,
corporations,0.013477088948787063,0.13688241704209733,0.0,0.0,0.013477088948787063,0.013477088948787063,
conflating,0.013477088948787063,0.11546164163860331,0.0,0.0,0.013477088948787063,0.013477088948787063,
blame,0.013477088948787063,0.11546164163860331,0.0,0.0,0.013477088948787063,0.013477088948787063,
payloads,0.013477088948787063,0.13688241704209733,0.0,0.0,0.013477088948787063,0.013477088948787063,
guide's,0.013477088948787063,0.13688241704209733,0.0,0.0,0.013477088948787063,0.013477088948787063,
